2023-12-01 00:23:40.729719,8100,1013,1,50.00,50.00,1102,6,1005,2023-12-01 00:23:40.729719,2023-12-01 00:23:40.729719
2023-12-01 00:49:32.498793,8101,1006,2,124.95,249.90,1004,9,1008,2023-12-01 00:49:32.498793,2023-12-01 00:49:32.498793
2023-12-01 00:49:32.498793,8101,1007,2,134.95,269.90,1004,9,1008,2023-12-01 00:49:32.498793,2023-12-01 00:49:32.498793
2023-12-01 01:42:33.633232,8102,1019,1,10.00,10.00,1104,6,1015,2023-12-01 01:42:33.633232,2023-12-01 01:42:33.633232
2023-12-01 01:42:33.633232,8102,1017,1,24.00,24.00,1104,6,1015,2023-12-01 01:42:33.633232,2023-12-01 01:42:33.633232
2023-12-01 01:42:33.633232,8102,1007,1,134.95,134.95,1104,6,1015,2023-12-01 01:42:33.633232,2023-12-01 01:42:33.633232
2023-12-01 01:42:33.633232,8102,1001,3,109.95,329.85,1104,6,1015,2023-12-01 01:42:33.633232,2023-12-01 01:42:33.633232
2023-12-01 02:17:33.361547,8103,1008,2,194.95,389.90,1108,10,1019,2023-12-01 02:17:33.361547,2023-12-01 02:17:33.361547
2023-12-01 02:17:33.361547,8103,1016,2,17.00,34.00,1108,10,1019,2023-12-01 02:17:33.361547,2023-12-01 02:17:33.361547
2023-12-01 02:17:33.361547,8103,1015,3,20.00,60.00,1108,10,1019,2023-12-01 02:17:33.361547,2023-12-01 02:17:33.361547
2023-12-01 02:17:33.361547,8103,1001,2,109.95,219.90,1108,10,1019,2023-12-01 02:17:33.361547,2023-12-01 02:17:33.361547
2023-12-01 02:25:59.189471,8104,1018,2,30.00,60.00,1000,4,1023,2023-12-01 02:25:59.189471,2023-12-01 02:25:59.189471
2023-12-01 02:25:59.189471,8104,1008,2,194.95,389.90,1000,4,1023,2023-12-01 02:25:59.189471,2023-12-01 02:25:59.189471
2023-12-01 02:25:59.189471,8104,1019,2,10.00,20.00,1000,4,1023,2023-12-01 02:25:59.189471,2023-12-01 02:25:59.189471
2023-12-01 02:25:59.189471,8104,1017,3,24.00,72.00,1000,4,1023,2023-12-01 02:25:59.189471,2023-12-01 02:25:59.189471
2023-12-01 02:25:59.189471,8104,1002,3,119.95,359.85,1000,4,1023,2023-12-01 02:25:59.189471,2023-12-01 02:25:59.189471
2023-12-01 03:19:25.265367,8105,1016,3,17.00,51.00,1007,2,1011,2023-12-01 03:19:25.265367,2023-12-01 03:19:25.265367
2023-12-01 03:19:25.265367,8105,1017,3,24.00,72.00,1007,2,1011,2023-12-01 03:19:25.265367,2023-12-01 03:19:25.265367
